;1;2;3;4;5
1980;Vietnam;Indonesia;Malaysia;Bulgaria;Australia
2021,116;Solomon Islands;Maldives;Philippines;Hungary;Austria
2021,424;Tonga;Sri Lanka;Fiji;Poland;Belgium
2021,732;Bangladesh;Thailand;Albania;Romania;Denmark
2022,04;Bhutan;Kiribati;Chile;Japan;Finland
2022,348;India;Papua New Guinea;Uruguay;Singapore;France
2022,656;Nepal;Vanuatu;Antigua and Barbuda;New Zealand;Germany
2022,964;Central African Republic;Belize;Dominican Republic;Cyprus;Greece
2023,272;Equatorial Guinea;Guyana;Grenada;Ireland;Iceland
2023,58;Burundi;Haiti;Jamaica;Israel;Italy
2023,888;Ethiopia;Honduras;Bolivia;Malta;Luxembourg
2024,196;Malawi;Morocco;Ecuador;Portugal;Netherlands
2024,504;Mozambique;Pakistan;Peru;Spain;Norway
2024,812;Rwanda;Angola;Colombia;United Kingdom;Sweden
2025,12;Tanzania;Comoros;Costa Rica;Argentina;Switzerland
2025,428;Uganda;Kenya;El Salvador;Barbados;Canada
2025,736;Lesotho;Madagascar;Guatemala;Trinidad and Tobago;United States
2026,044;Burkina Faso;Zambia;Panama;Mexico;Bahrain
2026,352;Chad;Botswana;Paraguay;Brazil;Kuwait
2026,66;Guinea-Bissau;Benin;Jordan;Algeria;Libya
2026,968;Mali;Cameroon;Tunisia;Lebanon;Qatar
2027,276;Niger;Ghana;Turkey;Oman;Saudi Arabia
2027,584;Sierra Leone;Senegal;Mauritius;Seychelles;United Arab Emirates
2027,892;Togo;Sudan;;Puerto Rico;Gabon
;1;2;3;4;5
1990;Vietnam;Indonesia;Malaysia;Bulgaria;Bulgaria
;Kiribati;Philippines;Maldives;Hungary;Hungary
;Solomon Islands;Sri Lanka;Thailand;Romania;Romania
;Bangladesh;Papua New Guinea;Fiji;New Zealand;New Zealand
;India;Tonga;Poland;Cyprus;Cyprus
;Nepal;Vanuatu;Chile;Finland;Finland
;Central African Republic;Albania;Uruguay;Greece;Greece
;Equatorial Guinea;Guyana;Belize;Ireland;Ireland
;Burundi;Haiti;Dominican Republic;Israel;Israel
;Ethiopia;Bolivia;Grenada;Malta;Malta
;Madagascar;El Salvador;Jamaica;Portugal;Portugal
;Malawi;Honduras;Ecuador;Spain;Spain
;Mozambique;Morocco;Peru;United Kingdom;United Kingdom
;Rwanda;Bhutan;Colombia;Argentina;Argentina
;Tanzania;Pakistan;Costa Rica;Antigua and Barbuda;Antigua and Barbuda
;Uganda;Angola;Guatemala;Barbados;Barbados
;Lesotho;Comoros;Panama;Trinidad and Tobago;Trinidad and Tobago
;Burkina Faso;Kenya;Paraguay;Mexico;Mexico
;Chad;Zambia;Jordan;Brazil;Brazil
;Guinea-Bissau;Benin;Lebanon;Algeria;Algeria
;Mali;Cameroon;Tunisia;Turkey;Turkey
;Niger;Ghana;Mauritius;Gabon;Gabon
;Sierra Leone;Senegal;Botswana;Seychelles;Seychelles
;Togo;Sudan;;Puerto Rico;Puerto Rico
;1;2;3;4;5
1997;Kiribati;Philippines;Indonesia;Malaysia;Japan
;Solomon Islands;Sri Lanka;Maldives;Hungary;Singapore
;Haiti;Vietnam;Thailand;New Zealand;Australia
;Bangladesh;Papua New Guinea;Fiji;Cyprus;Austria
;Nepal;Tonga;Bulgaria;Finland;Belgium
;Central African Republic;Vanuatu;Poland;Greece;Denmark
;Burundi;Albania;Romania;Israel;France
;Ethiopia;Guyana;Belize;Malta;Germany
;Madagascar;Bolivia;Dominican Republic;Portugal;Iceland
;Malawi;El Salvador;Grenada;Spain;Ireland
;Mozambique;Guatemala;Jamaica;United Kingdom;Italy
;Rwanda;Honduras;Ecuador;Argentina;Luxembourg
;Tanzania;Morocco;Peru;Chile;Netherlands
;Uganda;Bhutan;Colombia;Uruguay;Norway
;Zambia;India;Costa Rica;Antigua and Barbuda;Sweden
;Lesotho;Pakistan;Panama;Barbados;Switzerland
;Benin;Angola;Brazil;Trinidad and Tobago;Canada
;Burkina Faso;Equatorial Guinea;Paraguay;Mexico;United States
;Chad;Comoros;Algeria;Lebanon;Bahrain
;Guinea-Bissau;Kenya;Jordan;Libya;Kuwait
;Mali;Cameroon;Tunisia;Turkey;Oman
;Niger;Ghana;Mauritius;Gabon;Qatar
;Sierra Leone;Senegal;Botswana;Seychelles;Saudi Arabia
;Togo;Sudan;;Puerto Rico;United Arab Emirates
